Book_title,Book_author,Book_length
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
An Intrigue of Witches,Esme Addison,Length: 12 hrs and 20 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Age of Oracles: The Complete Trilogy,Ben Hale,Length: 35 hrs and 57 mins
Harry Potter and the Deathly Hallows (Narrated by Stephen Fry),J.K. Rowling,Length: 23 hrs and 59 mins
The Worst of You,Sarah Richards,Length: 10 hrs and 51 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
Projektet,"Lee Child,Andrew Child",Length: 8 hrs and 8 mins
A Sage's Legacy,Xander Jade,Length: 10 hrs and 28 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
The Lost Cyborg,Vaughn Heppner,Length: 13 hrs and 5 mins
Dr. Sebi Encyclopedia of Herbs,Onawa Cheyenne,Length: 2 hrs and 20 mins
True Crime Storytime,"M. Moore,True Crime Seven",Length: 20 hrs and 35 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Restless Stars,"Caroline Peckham,Susanne Valenti",Length: 34 hrs and 26 mins
Full Metal Panic! Volume 5,Shouji Gatou,Length: 5 hrs and 35 mins
Heroics 101: A Superhero Slice-of-Life LitRPG,Aest Belequa,Length: 20 hrs and 15 mins
Invisible Doctrine,"George Monbiot,Peter Hutchison",Length: 4 hrs and 29 mins
Noble Bearings,Bruce Sentar,Length: 14 hrs and 20 mins
Guilty Minds,Ariana Cane,Length: 15 hrs and 7 mins
Bridesmaid for Hire,Meghan Quinn,Length: 13 hrs and 47 mins
Rune Seeker 3,"J.M. Clarke,C.J. Thompson",Length: 24 hrs and 24 mins
Murder at the Dinner Party,C.J. Archer,Length: 7 hrs and 35 mins
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Love Addict's RPG V1.00,Punished Kom,Length: 21 hrs and 16 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Holy Fire: A Friend of God,Kevin Zadai,Length: 6 hrs and 4 mins
Relever,Jane Washington,Length: 14 hrs and 32 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
Demon's Ascent,Erios909,Length: 21 hrs and 47 mins
"Nano Mage Omnibus, Books 1-3",D. Levesque,Length: 25 hrs and 55 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
America Falls Collection 1: Books 1-6,Scott Medbury,Length: 33 hrs and 15 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
For Your Heart,Crea Reitan,Length: 10 hrs and 58 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
The 3000 Most Common Words in Italian,Emily Montgomery,Length: 10 hrs and 42 mins
The Wolf Prince's Fate: Alpha and Omega,Roxie Ray,Length: 12 hrs and 20 mins
Fire Exit,Morgan Talty,Length: 6 hrs and 35 mins
A Court of Wings and Ruin (Part 3 of 3) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
World Class,"Grant Wahl,Dr. Céline Gounder",Length: 12 hrs and 30 mins
The Chair and the Valley,"Banning Lyon,Jonathan Eig - foreword",Length: 10 hrs and 41 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
Morgan,Riley Hart,Length: 7 hrs and 16 mins
The Last Survivors Box Set,"Bobby Adair,T.W. Piperbrook",Length: 50 hrs and 24 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
Yowls in the Yarrow,Dale Mayer,Length: 6 hrs and 20 mins
Harry Potter and the Half-Blood Prince (Narrated by Stephen Fry),J.K. Rowling,Length: 20 hrs and 31 mins
The Gate of the Feral Gods,Matt Dinniman,Length: 18 hrs and 3 mins
Eruption,"Michael Crichton,James Patterson",Length: 10 hrs and 32 mins
Storm: Dawn of a Goddess,Tiffany D. Jackson,Length: 10 hrs and 40 mins
The Path of Ascension: Books 1-3.5,C. Mantis,Length: 70 hrs and 2 mins
"So I'm a Spider, So What?, Vol. 9","Okina Baba,Tsukasa Kiryu - illustrator,Jenny McKeon McKeon",Length: 7 hrs and 36 mins
Worldship Files: Detonation,Erik Schubach,Length: 5 hrs and 11 mins
The God and the Gumiho,Sophie Kim,Length: 13 hrs and 26 mins
When a Gangsta Wants You,Jade Jones,Length: 8 hrs and 17 mins
Camino Ghosts,John Grisham,Length: 10 hrs and 17 mins
A Court of Frost and Starlight (Dramatized Adaptation),Sarah J. Maas,Length: 5 hrs and 33 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
Erotica for Women: Sex Stories,Lucy James,Length: 20 hrs and 15 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Foolish Games,Selena,Length: 8 hrs and 57 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
My Secret Portal to a Fantasy World: Book 2,D. Levesque,Length: 8 hrs and 32 mins
The Reckoning,"Caroline Peckham,Susanne Valenti",Length: 17 hrs and 40 mins
Fall of Civilizations,Paul Cooper,Length: 19 hrs and 25 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
Grayson,Laura Scott,Length: 7 hrs and 4 mins
American Predator,Maureen Callahan,Length: 9 hrs and 3 mins
Seven Summer Weekends,Jane L. Rosen,Length: 7 hrs and 41 mins
The Originalism Trap,Madiba K. Dennie,Length: 7 hrs and 21 mins
From Pemberley to Gretna Green: A Pride and Prejudice Variation,Laraba Kendig,Length: 10 hrs and 5 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
Magitech Chronicles Omnibus,Chris Fox,Length: 108 hrs and 51 mins
For the Fans,Nyla K,Length: 22 hrs and 39 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs and 38 mins
Super Powereds: Year 4 (Part 4 of 4) (Dramatized Adaptation),Drew Hayes,Length: 6 hrs and 46 mins
In-Laws vs. Outlaws,"Cari Z,L.A. Witt",Length: 3 hrs and 4 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
An Assassination on the Agenda,T E Kinsey,Length: 8 hrs and 56 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
Avatar,Seth Ring,Length: 14 hrs
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
Thin Ice,Lane Hayes,Length: 7 hrs and 37 mins
Voracious,James T. Callum,Length: 17 hrs and 12 mins
The Girl Who Was Taken,Charlie Donlea,Length: 10 hrs and 49 mins
Past Present Future,Rachel Lynn Solomon,Length: 9 hrs and 59 mins
The Summer of Yes,Courtney Walsh,Length: 11 hrs and 29 mins
The Bright Sword,Lev Grossman,Length: 23 hrs and 10 mins
The Stepfamily,Bonnie Traymore,Length: 7 hrs and 26 mins
Heretics of Dune,Frank Herbert,Length: 18 hrs and 4 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Chained,Lacey Lehotzky,Length: 15 hrs and 24 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
The Singularity Is Nearer,Ray Kurzweil,Length: 10 hrs and 25 mins
The Ballad of Smallhope and Pennyroyal,Jodi Taylor,Length: 10 hrs
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Dark Age,Pierce Brown,Length: 33 hrs and 58 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Loyalty,E. J. Noyes,Length: 10 hrs and 5 mins
"Think Faster, Talk Smarter",Matt Abrahams,Length: 7 hrs and 11 mins
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins
No Retreat,"J.N. Chaney,Terry Mixon",Length: 9 hrs and 2 mins
Super Powereds: Year 4,Drew Hayes,Length: 60 hrs and 37 mins
Funny Story,Emily Henry,Length: 11 hrs and 23 mins
This Woman Forever,Jodi Ellen Malpas,Length: 22 hrs and 22 mins
Till Death,Miranda Lyn,Length: 19 hrs and 23 mins
Heretics of Dune,Frank Herbert,Length: 18 hrs and 4 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Chained,Lacey Lehotzky,Length: 15 hrs and 24 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
The Singularity Is Nearer,Ray Kurzweil,Length: 10 hrs and 25 mins
The Ballad of Smallhope and Pennyroyal,Jodi Taylor,Length: 10 hrs
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Dark Age,Pierce Brown,Length: 33 hrs and 58 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Loyalty,E. J. Noyes,Length: 10 hrs and 5 mins
"Think Faster, Talk Smarter",Matt Abrahams,Length: 7 hrs and 11 mins
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins
No Retreat,"J.N. Chaney,Terry Mixon",Length: 9 hrs and 2 mins
Super Powereds: Year 4,Drew Hayes,Length: 60 hrs and 37 mins
Funny Story,Emily Henry,Length: 11 hrs and 23 mins
This Woman Forever,Jodi Ellen Malpas,Length: 22 hrs and 22 mins
Till Death,Miranda Lyn,Length: 19 hrs and 23 mins
